dataset,neighbours,accuracy_sk,accuracy_mod,roc_auc_sk,roc_auc_mod
45,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
45,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
45,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3918,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3918,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3918,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
219,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
219,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
219,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9977,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9977,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9977,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
43,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
43,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
43,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
23,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
23,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
23,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9910,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9910,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9910,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
10101,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
10101,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
10101,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
15,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
15,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
15,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3481,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3481,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3481,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9946,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9946,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9946,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3904,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3904,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3904,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3573,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3573,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3573,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
29,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
29,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
29,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
6,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
6,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
6,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
28,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
28,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
28,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
2074,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
2074,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
2074,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
49,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
49,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
49,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
2079,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
2079,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
2079,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
53,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
53,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
53,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
11,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
